wave,lnwage,sex,expf,expfsq,expp,exppsq,edyrs,colldeg,advdeg,msa,region,racehisp,union,govt,ind,occ,mgrocc,profocc,maleprofaer,wght
1999,2.2825193405151367,male,10,100,2,4,9,0,0,0,south,blacknh,0,0,miningconstruction,construct,0,0,0,1.284999966621399
1999,2.8224692344665527,male,27,729,4,16,17,1,0,1,west,whitenh,1,1,education,legaleduc,0,1,0,23.69300079345703
2007,2.386033058166504,male,12,144,0,0,12,0,0,0,midwest,whitenh,0,0,durables,production,0,0,0,5.896999835968018
2011,3.450387716293335,male,18,324,0,0,14,0,0,1,south,whitenh,1,1,durables,scientist,0,1,1,36.96099853515625
1981,3.401857852935791,male,9,81,0,0,12,0,0,0,west,whitenh,1,0,miningconstruction,construct,0,0,0,16
1981,3.371459722518921,male,9,81,8,64,12,0,0,1,northeast,blacknh,1,0,durables,production,0,0,0,19
1981,2.254687786102295,male,29,841,1,1,9,0,0,1,south,blacknh,0,0,nondurables,production,0,0,0,1
1990,2.8356075286865234,male,22,484,0,0,12,0,0,1,south,blacknh,1,1,admin,transport,0,0,0,1.2929999828338623
2011,2.996983051300049,male,11,121,0,0,14,0,0,0,south,whitenh,0,0,enterntainment,construct,0,0,0,18.31800079345703
1990,2.746201753616333,male,27,729,0,0,10,0,0,1,south,blacknh,0,0,finance,production,0,0,0,1.3109999895095825
2007,1.1581276655197144,male,11,121,3,9,13,0,0,1,midwest,blacknh,1,1,enterntainment,foodcare,0,0,0,10.960000038146973
1990,3.012969970703125,male,34,1156,0,0,16,1,0,0,northeast,whitenh,0,0,hospitality,production,0,0,0,22.15399932861328
1999,3.4790520668029785,male,31,961,1,1,12,0,0,1,northeast,blacknh,1,0,nondurables,production,0,0,0,7.614999771118164
1999,2.7769365310668945,male,31,961,0,0,12,0,0,0,midwest,whitenh,0,0,durables,production,0,0,0,29.382999420166016
2011,3.414665937423706,male,4,16,7,49,16,1,0,0,south,whitenh,0,0,communications,production,0,0,0,13.836000442504883
2011,2.8229801654815674,male,15,225,1,1,12,0,0,0,south,blacknh,1,1,medical,admin,0,0,0,2.563999891281128
2009,2.7672276496887207,male,8,64,1,1,13,0,0,0,south,whitenh,0,0,miningconstruction,construct,0,0,0,14.343000411987305
1999,2.547971248626709,male,6,36,1,1,14,0,0,0,midwest,whitenh,0,0,transport,transport,0,0,0,19.94099998474121
2007,2.843153953552246,male,17,289,1,1,12,0,0,1,south,hisp,0,1,admin,security,0,0,0,43.069000244140625
1999,4.052576065063477,male,11,121,4,16,14,0,0,1,west,whitenh,0,0,medical,managerial,1,0,0,27.72599983215332
2011,3.2441935539245605,male,10,100,0,0,15,0,0,1,south,blacknh,0,0,communications,tech,0,1,1,33.145999908447266
2009,2.461460828781128,male,18,324,0,0,13,0,0,0,south,blacknh,0,0,communications,sales,0,0,0,34.266998291015625
2007,2.7526400089263916,male,15,225,0,0,12,0,0,0,south,blacknh,0,0,transport,transport,0,0,0,0.8859999775886536
1990,2.279092311859131,male,44,1936,0,0,6,0,0,0,south,blacknh,0,0,miningconstruction,production,0,0,0,5.1519999504089355
2009,2.5840485095977783,male,8,64,3,9,14,0,0,0,midwest,whitenh,0,0,wholesale,admin,0,0,0,13.300000190734863
1999,3.9687247276306152,male,16,256,3,9,15,0,0,1,midwest,whitenh,0,0,professional,tech,0,1,1,25.155000686645508
2011,2.9786603450775146,male,8,64,0,0,12,0,0,0,midwest,whitenh,0,0,durables,construct,0,0,0,32.941001892089844
1999,2.6913788318634033,male,11,121,2,4,12,0,0,0,south,blacknh,0,0,miningconstruction,transport,0,0,0,4.388000011444092
1990,3.176539897918701,male,12,144,0,0,12,0,0,1,midwest,whitenh,0,0,durables,construct,0,0,0,23.757999420166016
1999,2.7914202213287354,male,28,784,0,0,12,0,0,0,south,whitenh,0,0,retail,managerial,1,0,0,23.613000869750977
1999,3.1307454109191895,male,22,484,0,0,12,0,0,0,south,whitenh,1,0,miningconstruction,construct,0,0,0,11.873000144958496
2007,2.3808724880218506,male,26,676,2,4,11,0,0,0,south,blacknh,0,0,retail,transport,0,0,0,5.043000221252441
1981,3.343017339706421,male,39,1521,0,0,8,0,0,1,south,blacknh,1,0,durables,production,0,0,0,1
2007,3.572662591934204,male,19,361,0,0,12,0,0,1,midwest,whitenh,1,0,durables,production,0,0,0,16.659000396728516
2011,3.620826005935669,male,11,121,2,4,13,0,0,0,south,blacknh,1,0,transport,transport,0,0,0,0.9470000267028809
1999,3.1726317405700684,male,22,484,0,0,15,0,0,1,midwest,blacknh,1,1,transport,managerial,1,0,0,3.555000066757202
2007,2.4892349243164062,male,11,121,1,1,12,0,0,0,west,whitenh,0,0,enterntainment,foodcare,0,0,0,25.187999725341797
1990,3.489295721054077,male,15,225,0,0,17,0,0,1,northeast,whitenh,0,0,durables,managerial,1,0,0,21.902000427246094
1999,2.824371099472046,male,20,400,3,9,14,0,0,0,south,blacknh,0,1,admin,admin,0,0,0,1.3969999551773071
2009,2.9722864627838135,male,9,81,5,25,18,0,1,0,south,blacknh,0,1,enterntainment,socialworker,0,1,1,23.83300018310547
1999,3.1371660232543945,male,20,400,0,0,16,1,0,1,midwest,whitenh,1,0,miningconstruction,construct,0,0,0,20.038999557495117
2009,3.146639585494995,male,24,576,2,4,12,0,0,0,south,whitenh,0,0,durables,architect,0,1,1,31.825000762939453
1981,2.5747287273406982,male,17,289,11,121,11,0,0,1,midwest,blacknh,1,0,miningconstruction,construct,0,0,0,4
1981,2.86104154586792,male,9,81,0,0,12,0,0,1,west,whitenh,0,0,retail,managerial,1,0,0,9
1981,2.7474122047424316,male,42,1764,0,0,12,0,0,1,midwest,blacknh,1,0,finance,managerial,1,0,0,33
2007,3.0460948944091797,male,12,144,2,4,12,0,0,0,south,whitenh,0,0,durables,production,0,0,0,20.858999252319336
2007,2.3929529190063477,male,34,1156,0,0,16,1,0,1,midwest,whitenh,0,0,education,building,0,0,0,59.082000732421875
2007,3.1250879764556885,male,33,1089,4,16,16,1,0,1,south,whitenh,0,0,professional,financial,1,0,0,30.902000427246094
1981,2.4695916175842285,male,12,144,0,0,14,0,0,0,south,whitenh,0,1,education,construct,0,0,0,13
2007,3.1410210132598877,male,7,49,0,0,13,0,0,0,south,whitenh,0,1,admin,security,0,0,0,12.711000442504883
1999,3.3224635124206543,male,10,100,1,1,14,0,0,0,midwest,whitenh,0,0,durables,admin,0,0,0,52.25899887084961
1999,3.5328612327575684,male,19,361,5,25,16,1,0,1,midwest,whitenh,0,1,admin,business,1,0,0,26.25
1990,2.4128363132476807,male,22,484,0,0,14,0,0,0,northeast,whitenh,0,0,nondurables,production,0,0,0,17.929000854492188
2007,3.25022029876709,male,39,1521,0,0,12,0,0,0,midwest,whitenh,0,0,utilities,scientist,0,1,1,24.007999420166016
1990,3.1303505897521973,male,20,400,0,0,16,1,0,0,south,blacknh,0,1,miningconstruction,scientist,0,1,1,1.5269999504089355
1999,3.5603456497192383,male,26,676,0,0,12,0,0,0,south,blacknh,1,0,communications,construct,0,0,0,2.686000108718872
1999,3.1890265941619873,male,23,529,0,0,13,0,0,1,midwest,blacknh,1,1,professional,building,0,0,0,3.1610000133514404
1990,2.6361441612243652,male,25,625,1,1,17,0,0,1,midwest,whitenh,1,1,admin,admin,0,0,0,19.048999786376953
1999,3.4449899196624756,male,27,729,5,25,13,0,0,1,west,whitenh,1,0,miningconstruction,construct,0,0,0,50.62799835205078
1999,3.355545997619629,male,26,676,0,0,12,0,0,0,northeast,blacknh,0,1,admin,security,0,0,0,0.6650000214576721
1981,3.484264612197876,male,36,1296,5,25,5,0,0,1,northeast,whitenh,1,0,miningconstruction,construct,0,0,0,42
1990,2.2929859161376953,male,19,361,0,0,12,0,0,0,south,blacknh,0,0,wholesale,production,0,0,0,2.309000015258789
2007,2.5993289947509766,male,4,16,2,4,17,1,0,1,south,whitenh,0,0,finance,admin,0,0,0,16.468000411987305
1981,3.270742893218994,male,17,289,8,64,8,0,0,1,midwest,blacknh,1,0,durables,production,0,0,0,4
2007,3.500162124633789,male,28,784,1,1,16,1,0,0,west,whitenh,0,0,professional,tech,0,1,1,59.928001403808594
1990,1.7138726711273193,male,11,121,0,0,12,0,0,0,south,whitenh,0,0,transport,transport,0,0,0,15.590999603271484
1999,2.7623214721679688,male,7,49,0,0,15,0,0,0,south,blacknh,0,0,retail,managerial,1,0,0,2.4000000953674316
1990,2.5516300201416016,male,17,289,0,0,17,0,0,1,south,blacknh,0,1,medical,managerial,1,0,0,8.378000259399414
2009,3.023003339767456,male,16,256,3,9,13,0,0,1,south,whitenh,1,0,transport,construct,0,0,0,25.895999908447266
2009,2.1948788166046143,male,7,49,1,1,12,0,0,1,midwest,whitenh,0,0,retail,admin,0,0,0,30.89299964904785
1990,3.1580679416656494,male,3,9,5,25,17,1,0,1,northeast,whitenh,0,0,professional,artist,0,1,1,43.80400085449219
2007,3.8992066383361816,male,22,484,1,1,13,0,0,0,midwest,whitenh,0,0,transport,sales,0,0,0,28.913999557495117
